url	first_seen	portal	title	company	status
https://job-boards.greenhouse.io/inmobi/jobs/7286578	2026-04-22	greenhouse	Associate Product Manager	InMobi	pipeline
https://job-boards.greenhouse.io/bitgo/jobs/8202058002	2026-04-22	greenhouse	Associate Product Manager - India	BitGo	pipeline
https://boards.greenhouse.io/gomotive/jobs/7099928002	2026-04-22	greenhouse	Associate Product Manager	Motive	pipeline
https://boards.greenhouse.io/noorahealth/jobs/4481770005	2026-04-22	greenhouse	Associate Product Manager	Noora Health	pipeline
https://job-boards.greenhouse.io/smartsheet/jobs/7449733	2026-04-22	greenhouse	Product Manager I (Hybrid in Bangalore)	Smartsheet	pipeline
https://job-boards.greenhouse.io/phonepe/jobs/7690461003	2026-04-22	greenhouse	Product Manager	PhonePe	pipeline
https://www.meesho.io/jobs/associate-product-manager-ii---platforms?id=05b4b3f2-15b1-436c-a6c5-bd255fc03dbe	2026-04-22	websearch	Associate Product Manager II - Platforms	Meesho	pipeline
https://jobs.ashbyhq.com/Almabase/12eca30f-371a-4096-bf1d-5f4b552192ce	2026-04-22	ashby	Associate Product Manager	Almabase	pipeline
https://startup.jobs/associate-product-manager-swiggy_in-1823614	2026-04-22	websearch	Associate Product Manager	Swiggy	pipeline
https://offcampusjobs4u.com/ptc-recruitment-2026-associate-product-analyst-pune/	2026-04-22	websearch	Associate Product Analyst	PTC	pipeline
https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4676733005	2026-04-22	greenhouse	Associate Business Analyst	Razorpay	pipeline
https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4686366005	2026-04-22	greenhouse	Analyst, Risk Management	Razorpay	pipeline
https://wellfound.com/jobs/2404663-associate-product-manager	2026-04-22	wellfound	Associate Product Manager	Wiom	pipeline
https://careers.freshworks.com/jobs/K1QyqqjLelZ5/associate-product-manager	2026-04-22	websearch	Associate Product Manager	Freshworks	pipeline
https://job-boards.greenhouse.io/inmobi/jobs/6918622	2026-04-22	greenhouse	Associate Product Manager - Financial Systems and Transformation	InMobi	pipeline
https://jobs.ashbyhq.com/ema/7e7c61dd-836c-43e3-94e2-b8b8d789520b	2026-04-22	ashby	Associate Product Manager	Ema	pipeline
https://www.remoterocketship.com/company/tabby-ai-2/jobs/product-analyst-loyalty-dubai-hybrid/	2026-04-22	websearch	Product Analyst - Loyalty	Tabby	pipeline
https://www.linkedin.com/jobs/view/business-analyst-at-rakbank-3377698104	2026-04-22	linkedin	Business Analyst	RAKBANK	pipeline
https://www.gulftalent.com/uae/jobs/technical-product-manager-digital-431453	2026-04-22	gulftalent	Technical Product Manager - Digital	Emirates Group	pipeline
https://startup.jobs/company/careem	2026-04-22	websearch	Product Manager I	Careem	pipeline
https://www.gulftalent.com/uae/jobs/product-manager-567380	2026-04-22	gulftalent	Product Manager	Etihad Airways	pipeline
https://boards.greenhouse.io/propertyfinder	2026-04-22	greenhouse	Business Analytics Associate	Property Finder	pipeline
https://jobs.citi.com/job/dubai/banking-investment-banking-placement-analyst-dubai-uae-2026/287/86692912624	2026-04-23	websearch	Banking Investment Banking Placement Analyst Dubai 2026	Citi	pipeline
https://jobs.citi.com/job/dubai/banking-capital-markets-equity-capital-markets-placement-analyst-dubai-uae-2026/287/86989367040	2026-04-23	websearch	Banking ECM Placement Analyst Dubai 2026	Citi	pipeline
https://search.jobs.barclays/job/dubai/banking-off-cycle-internship-programme-2026-dubai/13015/85441548192	2026-04-23	websearch	Banking Off-Cycle Internship Programme 2026 Dubai	Barclays	pipeline
https://search.jobs.barclays/job/dubai/international-corporate-banking-off-cycle-internship-programme-2026-dubai/13015/85654081616	2026-04-23	websearch	International Corporate Banking Off-Cycle Internship 2026 Dubai	Barclays	pipeline
https://barclays.wd3.myworkdayjobs.com/en-US/External_Career_Site_Barclays/job/Dubai-International-Financial-Centre-Dubai/Private-Bank-and-Wealth-Management-Off-Cycle-Internship-Programme-2026-Dubai_JR-0000072193/apply	2026-04-23	websearch	Private Bank & Wealth Management Off-Cycle Internship 2026 Dubai	Barclays	pipeline
https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/210648261	2026-04-23	websearch	Global Investment Banking Off-Cycle Internship Dubai 2026	JPMorgan Chase	pipeline
https://www.dubaiholding.com/en/graduate-trainee-programme	2026-04-23	websearch	Leaders of Tomorrow Graduate Programme 2026	Dubai Holding	pipeline
https://www.revolut.com/en-US/careers/position/rev-celerator-internship-programme-2026-data-scientist-and-analyst-fbcceb5d-8bf5-49a8-b986-4e560fd6542a/	2026-04-23	websearch	Rev-celerator Data Scientist & Analyst Internship 2026	Revolut	pipeline
https://www.deloitte.com/middle-east/en/careers/explore-your-fit/students/internship-program.html	2026-04-23	websearch	Tadarab Internship Programme	Deloitte Middle East	pipeline
https://www.gulftalent.com/uae/jobs/management-trainee-program-345895	2026-04-23	websearch	Management Trainee Program	L'Oreal Middle East	pipeline
https://careers.chalhoubgroup.com/pages/graduate-hiring	2026-04-23	websearch	Graduate Trainee Programme	Chalhoub Group	pipeline
https://careers.landmarkgroup.com	2026-04-23	websearch	Management Trainee Dubai	Landmark Group	pipeline
https://higher.gs.com/roles/150644	2026-04-23	websearch	2026 EMEA Dubai Investment Banking Off-Cycle Internship	Goldman Sachs	pipeline
https://higher.gs.com/roles/150859	2026-04-23	websearch	2026 EMEA Dubai Wealth Management Off-Cycle Internship	Goldman Sachs	pipeline
https://www.heysuccess.com/opportunity/Goldman-Sachs-2026-EMEA-Dubai-FICC-Equities-Sales-Trading-Seasonal-Off-Cycle-Internship-56369	2026-04-23	websearch	2026 EMEA Dubai FICC & Equities Sales & Trading Off-Cycle Internship	Goldman Sachs	pipeline
https://careers.pwc.com/job/Middle-East-Deals,-COOP-and-Summer-Internship-Programme-2026-Middle-East-Midd/1268227301/	2026-04-23	websearch	Deals COOP Summer Internship Programme 2026	PwC Middle East	pipeline
https://careers.pwc.com/job/Middle-East-Consulting,-COOP-and-Summer-Internship-Programme-2026-Middle-East-Midd/1268226401/	2026-04-23	websearch	Consulting COOP Summer Internship Programme 2026	PwC Middle East	pipeline
https://kpmg.com/ae/en/careers/excel-internship-program.html	2026-04-23	websearch	Excel Internship Program	KPMG UAE	pipeline
https://www.mubadala.com/en/careers/student	2026-04-23	websearch	Early Careers Internship	Mubadala	pipeline
https://www.amazon.jobs/en/jobs/3143769/associate-solutions-architect-intern-2026	2026-04-23	websearch	Associate Solutions Architect Intern 2026	Amazon Web Services	pipeline
